2026-02-24 20:25:19 | ERROR    | app.loaders.order_loader | Formato JSON invalido en C:\Users\BBVA\Documents\Proyecto\orders-service\data\orders.json
2026-02-24 20:25:19 | WARNING  | __main__ | No hay ordenes por procesar
2026-02-27 17:48:49 | WARNING  | app.services.order_domain_service | Orden 1 no encontrada
2026-02-27 17:48:49 | WARNING  | app.services.order_domain_service | Orden 999 no encontrada
2026-02-27 18:21:01 | WARNING  | app.services.order_domain_service | Orden 1 no encontrada
2026-02-27 18:21:01 | WARNING  | app.services.order_domain_service | Orden 999 no encontrada
2026-03-02 14:56:53 | WARNING  | app.application.use_cases.order_use_cases | Orden 1 no encontrada
2026-03-02 14:57:00 | WARNING  | app.application.use_cases.order_use_cases | Orden 0 no encontrada
2026-03-02 15:27:43 | WARNING  | app.application.use_cases.order_use_cases | Orden 999 no encontrada
2026-03-02 15:27:43 | WARNING  | app.application.use_cases.order_use_cases | Orden 1 no encontrada
2026-03-02 15:29:08 | WARNING  | app.application.use_cases.order_use_cases | Orden 999 no encontrada
2026-03-02 15:29:08 | WARNING  | app.application.use_cases.order_use_cases | Orden 1 no encontrada
2026-03-02 15:29:11 | WARNING  | app.application.use_cases.order_use_cases | Orden 999 no encontrada
2026-03-02 15:29:11 | WARNING  | app.services.order_domain_service | Orden 1 no encontrada
2026-03-02 15:29:11 | WARNING  | app.services.order_domain_service | Orden 999 no encontrada
2026-03-02 15:32:34 | WARNING  | app.application.use_cases.order_use_cases | Orden 999 no encontrada
2026-03-02 15:32:34 | WARNING  | app.application.use_cases.order_use_cases | Orden 1 no encontrada
2026-03-02 15:32:39 | WARNING  | app.application.use_cases.order_use_cases | Orden 999 no encontrada
2026-03-02 15:32:39 | WARNING  | app.services.order_domain_service | Orden 1 no encontrada
2026-03-02 15:32:39 | WARNING  | app.services.order_domain_service | Orden 999 no encontrada
2026-03-02 15:32:56 | WARNING  | app.application.use_cases.order_use_cases | Orden 999 no encontrada
2026-03-02 15:32:56 | WARNING  | app.application.use_cases.order_use_cases | Orden 1 no encontrada
2026-03-02 15:33:01 | WARNING  | app.application.use_cases.order_use_cases | Orden 999 no encontrada
2026-03-02 15:33:01 | WARNING  | app.services.order_domain_service | Orden 1 no encontrada
2026-03-02 15:33:01 | WARNING  | app.services.order_domain_service | Orden 999 no encontrada
2026-03-02 16:02:57 | WARNING  | app.application.use_cases.order_use_cases | Orden 999 no encontrada
2026-03-02 16:02:57 | WARNING  | app.application.use_cases.order_use_cases | Orden 1 no encontrada
2026-03-02 16:03:10 | WARNING  | app.application.use_cases.order_use_cases | Orden 999 no encontrada
2026-03-02 16:03:10 | WARNING  | app.services.order_domain_service | Orden 1 no encontrada
2026-03-02 16:03:10 | WARNING  | app.services.order_domain_service | Orden 999 no encontrada
2026-03-02 16:03:21 | WARNING  | app.application.use_cases.order_use_cases | Orden 999 no encontrada
2026-03-02 16:03:21 | WARNING  | app.application.use_cases.order_use_cases | Orden 1 no encontrada
2026-03-02 16:03:26 | WARNING  | app.application.use_cases.order_use_cases | Orden 999 no encontrada
2026-03-02 16:03:26 | WARNING  | app.services.order_domain_service | Orden 1 no encontrada
2026-03-02 16:03:26 | WARNING  | app.services.order_domain_service | Orden 999 no encontrada
2026-03-02 16:15:42 | WARNING  | app.application.use_cases.order_use_cases | Orden 999 no encontrada
2026-03-02 16:15:42 | WARNING  | app.application.use_cases.order_use_cases | Orden 1 no encontrada
2026-03-02 16:15:48 | WARNING  | app.application.use_cases.order_use_cases | Orden 999 no encontrada
2026-03-02 16:15:48 | WARNING  | app.services.order_domain_service | Orden 1 no encontrada
2026-03-02 16:15:48 | WARNING  | app.services.order_domain_service | Orden 999 no encontrada
2026-03-03 09:28:24 | WARNING  | app.application.use_cases.order_use_cases | Orden 999 no encontrada
2026-03-03 09:28:24 | WARNING  | app.application.use_cases.order_use_cases | Orden 1 no encontrada
2026-03-03 09:28:29 | WARNING  | app.application.use_cases.order_use_cases | Orden 999 no encontrada
2026-03-03 09:28:29 | WARNING  | app.services.order_domain_service | Orden 1 no encontrada
2026-03-03 09:28:29 | WARNING  | app.services.order_domain_service | Orden 999 no encontrada
2026-03-03 09:48:30 | WARNING  | app.application.use_cases.order_use_cases | Orden 999 no encontrada
2026-03-03 09:48:30 | WARNING  | app.application.use_cases.order_use_cases | Orden 1 no encontrada
2026-03-03 09:48:33 | WARNING  | app.application.use_cases.order_use_cases | Orden 999 no encontrada
2026-03-03 09:48:33 | WARNING  | app.services.order_domain_service | Orden 1 no encontrada
2026-03-03 09:48:33 | WARNING  | app.services.order_domain_service | Orden 999 no encontrada
